"subjnum" "catt33G2" "G2m1_rpdi" "G2m2_pdi" "G2m3_rpd0" "G2m4_pd0" "G2m5_rpd1" "G2m6_pd1" "G2m7_rpi" "G2m8_pi" "G2m9_rp0" "G2m10_p0" "G2m11_rp1" "G2m12_p1" "G2m13_rdi" "G2m14_di" "G2m15_rd0" "G2m16_d0" "G2m17_rd1" "G2m18_d1" "G2m19_ri" "G2m20_i" "G2m21_r0" "G2m22_0" "G2m23_r1" "G2m24_1" "BICm1_rpdi" "BICm2_pdi" "BICm3_rpd0" "BICm4_pd0" "BICm5_rpd1" "BICm6_pd1" "BICm7_rpi" "BICm8_pi" "BICm9_rp0" "BICm10_p0" "BICm11_rp1" "BICm12_p1" "BICm13_rdi" "BICm14_di" "BICm15_rd0" "BICm16_d0" "BICm17_rd1" "BICm18_d1" "BICm19_ri" "BICm20_i" "BICm21_r0" "BICm22_0" "BICm23_r1" "BICm24_1" "subjnum" "m5_rpd1_r" "m5_rpd1_p" "m5_rpd1_d" "m5_rpd1_i"
"s32" 32 102.613561526859 NA NA NA NA 0.479704040619153 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 13.1820235544109 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 32 0.532523154921626 0.999999999999953 5 0.01
"s33" 33 102.613561526859 NA NA NA NA 0.479704040619153 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 13.1820235544109 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 33 0.532523154921626 0.999999999999953 5 0.01
"s34" 34 116.843005348403 NA NA NA NA 24.0670510716894 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 37.1753946290904 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 34 0.999908916840831 0.999458829000304 0.200710262520837 4.77575479463821
"s35" 35 122.150716744065 NA NA NA NA 51.8529891344548 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 64.8451891553137 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 35 0.997855470542819 0.671183497724029 0.171740264785856 0.160531389192433
"s36" 36 106.196580482813 NA NA NA NA 18.6874785699077 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 31.4329642960557 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 36 1 0.980574664556501 0.339001396215379 0.0100004514260216
"s37" 37 103.999555895478 NA NA NA NA 17.2968013110402 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 29.999120824832 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 37 1 0.893567719601695 0.316536644994188 0.0100000926721714
"s38" 38 412.417800047241 NA NA NA NA 384.979596599447 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 399.512157858823 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 38 0.918094192341697 1.23428057678058e-19 0.101511763687043 5
"s39" 39 130.633370838869 NA NA NA NA 50.0983096841937 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 63.0507740248026 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 39 0.698505916456582 0.970371681932808 0.513854441573692 2.15879261821353
"s40" 40 136.177348313346 NA NA NA NA 37.3378902450847 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 50.2903545856937 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 40 0.496496465426469 0.999999999999972 0.595441868375186 0.0100002682922584
"s41" 41 128.403092434983 NA NA NA NA 41.5868356570332 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 54.843357480423 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 41 0.999978456466476 1 0.116905847716347 0.0100001567791083
