"subjID" "group" "trial" "deck" "outcome"
"321" 4 "SDI" 35 1 1
"322" 4 "SDI" 36 4 0
"323" 4 "SDI" 37 4 1
"324" 4 "SDI" 38 2 0
"325" 4 "SDI" 39 2 1
"326" 4 "SDI" 40 4 1
"327" 4 "SDI" 41 1 1
"328" 4 "SDI" 42 4 1
"329" 4 "SDI" 43 3 1
"330" 4 "SDI" 44 2 1
"331" 4 "SDI" 45 1 1
"332" 4 "SDI" 46 3 1
"333" 4 "SDI" 47 4 1
"334" 4 "SDI" 48 3 1
"335" 4 "SDI" 49 2 0
"336" 4 "SDI" 50 2 1
"337" 4 "SDI" 51 1 1
"338" 4 "SDI" 52 2 1
"339" 4 "SDI" 53 4 1
"340" 4 "SDI" 54 1 1
"341" 4 "SDI" 55 3 1
"342" 4 "SDI" 56 4 1
"343" 4 "SDI" 57 3 1
"344" 4 "SDI" 58 1 1
"345" 4 "SDI" 59 3 1
"346" 4 "SDI" 60 4 0
"347" 4 "SDI" 61 2 0
"348" 4 "SDI" 62 3 1
"349" 4 "SDI" 63 2 1
"350" 4 "SDI" 64 1 1
"351" 4 "SDI" 65 1 1
"352" 4 "SDI" 66 4 1
"353" 4 "SDI" 67 2 1
"354" 4 "SDI" 68 1 1
"355" 4 "SDI" 69 4 1
"356" 4 "SDI" 70 1 1
"357" 4 "SDI" 71 4 1
"358" 5 "SDI" 1 1 0
"359" 5 "SDI" 2 3 0
"360" 5 "SDI" 3 4 1
"361" 5 "SDI" 4 1 1
"362" 5 "SDI" 5 2 1
"363" 5 "SDI" 6 3 1
"364" 5 "SDI" 7 4 1
"365" 5 "SDI" 8 1 1
"366" 5 "SDI" 9 2 1
"367" 5 "SDI" 10 3 1
"368" 5 "SDI" 11 4 1
"369" 5 "SDI" 12 1 1
"370" 5 "SDI" 13 4 0
"371" 5 "SDI" 14 2 1
"372" 5 "SDI" 15 1 1
"373" 5 "SDI" 16 4 1
"374" 5 "SDI" 17 2 1
"375" 5 "SDI" 18 3 0
"376" 5 "SDI" 19 1 1
"377" 5 "SDI" 20 1 0
"378" 5 "SDI" 21 2 1
"379" 5 "SDI" 22 3 1
"380" 5 "SDI" 23 2 1
"381" 5 "SDI" 24 1 1
"382" 5 "SDI" 25 2 1
"383" 5 "SDI" 26 1 1
"384" 5 "SDI" 27 3 1
"385" 5 "SDI" 28 4 1
"386" 5 "SDI" 29 2 1
"387" 5 "SDI" 30 3 1
"388" 5 "SDI" 31 4 1
"389" 5 "SDI" 32 2 0
"390" 5 "SDI" 33 4 0
"391" 5 "SDI" 34 3 0
"392" 5 "SDI" 35 1 1
"393" 5 "SDI" 36 4 1
"394" 5 "SDI" 37 2 1
"395" 5 "SDI" 38 3 1
"396" 5 "SDI" 39 1 1
"397" 5 "SDI" 40 4 1
"398" 5 "SDI" 41 1 1
"399" 5 "SDI" 42 3 1
"400" 5 "SDI" 43 4 1
"401" 5 "SDI" 44 2 1
"402" 5 "SDI" 45 3 0
"403" 5 "SDI" 46 2 0
"404" 5 "SDI" 47 1 0
"405" 5 "SDI" 48 3 1
"406" 5 "SDI" 49 2 1
"407" 5 "SDI" 50 4 0
"408" 5 "SDI" 51 4 1
"409" 5 "SDI" 52 2 1
"410" 5 "SDI" 53 1 1
"411" 5 "SDI" 54 2 1
"412" 5 "SDI" 55 4 1
"413" 5 "SDI" 56 2 1
"414" 5 "SDI" 57 1 1
"415" 5 "SDI" 58 3 1
"416" 5 "SDI" 59 1 1
"417" 5 "SDI" 60 2 1
"418" 5 "SDI" 61 4 0
"419" 5 "SDI" 62 3 1
"420" 5 "SDI" 63 1 1
"421" 5 "SDI" 64 3 1
"422" 5 "SDI" 65 1 1
"423" 5 "SDI" 66 3 1
"424" 5 "SDI" 67 1 1
"425" 5 "SDI" 68 4 1
"426" 5 "SDI" 69 2 1
"427" 5 "SDI" 70 3 1
"428" 5 "SDI" 71 1 1
"429" 5 "SDI" 72 4 0
"430" 5 "SDI" 73 2 0
"431" 5 "SDI" 74 2 1
"432" 5 "SDI" 75 1 1
"433" 5 "SDI" 76 3 1
"434" 5 "SDI" 77 2 1
"435" 5 "SDI" 78 1 1
"436" 5 "SDI" 79 3 1
"437" 5 "SDI" 80 4 1
"438" 5 "SDI" 81 2 1
"439" 5 "SDI" 82 3 1
"440" 5 "SDI" 83 4 1
"441" 6 "SDI" 1 1 0
"442" 6 "SDI" 2 4 0
"443" 6 "SDI" 3 4 1
"444" 6 "SDI" 4 1 1
"445" 6 "SDI" 5 2 1
"446" 6 "SDI" 6 3 1
"447" 6 "SDI" 7 4 1
"448" 6 "SDI" 8 1 1
"449" 6 "SDI" 9 2 1
"450" 6 "SDI" 10 3 1
"451" 6 "SDI" 11 4 1
"452" 6 "SDI" 12 1 1
"453" 6 "SDI" 13 4 0
"454" 6 "SDI" 14 1 0
"455" 6 "SDI" 15 3 0
"456" 6 "SDI" 16 4 1
"457" 6 "SDI" 17 2 1
"458" 6 "SDI" 18 3 0
"459" 6 "SDI" 19 1 1
"460" 6 "SDI" 20 4 1
"461" 6 "SDI" 21 2 1
"462" 6 "SDI" 22 3 1
"463" 6 "SDI" 23 2 1
"464" 6 "SDI" 24 1 1
"465" 6 "SDI" 25 2 1
"466" 6 "SDI" 26 1 1
"467" 6 "SDI" 27 3 1
"468" 6 "SDI" 28 4 1
"469" 6 "SDI" 29 2 1
"470" 6 "SDI" 30 3 0
"471" 6 "SDI" 31 4 1
"472" 6 "SDI" 32 2 0
"473" 6 "SDI" 33 4 0
"474" 6 "SDI" 34 4 1
"475" 6 "SDI" 35 1 1
"476" 6 "SDI" 36 4 1
"477" 6 "SDI" 37 2 1
"478" 6 "SDI" 38 3 1
"479" 6 "SDI" 39 1 1
"480" 6 "SDI" 40 4 1
"481" 6 "SDI" 41 1 1
"482" 6 "SDI" 42 3 1
"483" 6 "SDI" 43 4 1
"484" 6 "SDI" 44 2 1
"485" 6 "SDI" 45 3 0
"486" 6 "SDI" 46 2 0
"487" 6 "SDI" 47 1 0
"488" 6 "SDI" 48 1 0
"489" 6 "SDI" 49 2 1
"490" 6 "SDI" 50 4 0
"491" 6 "SDI" 51 4 1
"492" 6 "SDI" 52 2 1
"493" 6 "SDI" 53 1 1
"494" 6 "SDI" 54 2 1
"495" 6 "SDI" 55 4 1
"496" 6 "SDI" 56 2 1
"497" 6 "SDI" 57 1 1
"498" 6 "SDI" 58 3 1
"499" 6 "SDI" 59 1 1
"500" 6 "SDI" 60 2 1
"501" 6 "SDI" 61 4 0
"502" 6 "SDI" 62 3 1
"503" 6 "SDI" 63 1 1
"504" 6 "SDI" 64 3 1
"505" 6 "SDI" 65 1 1
"506" 6 "SDI" 66 3 1
"507" 6 "SDI" 67 1 1
"508" 6 "SDI" 68 4 1
"509" 6 "SDI" 69 2 1
"510" 6 "SDI" 70 3 1
"511" 6 "SDI" 71 1 1
"512" 6 "SDI" 72 4 0
"513" 6 "SDI" 73 3 0
"514" 6 "SDI" 74 2 1
"515" 6 "SDI" 75 1 1
"516" 6 "SDI" 76 3 1
"517" 6 "SDI" 77 2 1
"518" 6 "SDI" 78 1 1
"519" 6 "SDI" 79 3 1
"520" 6 "SDI" 80 4 1
"521" 6 "SDI" 81 2 1
"522" 6 "SDI" 82 3 1
"523" 6 "SDI" 83 4 1
"524" 7 "SDI" 1 2 1
"525" 7 "SDI" 2 1 1
"526" 7 "SDI" 3 4 1
"527" 7 "SDI" 4 1 1
"528" 7 "SDI" 5 2 1
"529" 7 "SDI" 6 3 1
"530" 7 "SDI" 7 4 1
"531" 7 "SDI" 8 1 1
"532" 7 "SDI" 9 2 1
"533" 7 "SDI" 10 3 1
"534" 7 "SDI" 11 4 0
"535" 7 "SDI" 12 3 0
"536" 7 "SDI" 13 4 0
"537" 7 "SDI" 14 1 0
"538" 7 "SDI" 15 2 0
"539" 7 "SDI" 16 4 1
"540" 7 "SDI" 17 2 1
"541" 7 "SDI" 18 3 0
"542" 7 "SDI" 19 4 0
"543" 7 "SDI" 20 1 0
"544" 7 "SDI" 21 2 1
"545" 7 "SDI" 22 3 1
"546" 7 "SDI" 23 2 1
"547" 7 "SDI" 24 3 0
"548" 7 "SDI" 25 2 1
"549" 7 "SDI" 26 1 1
"550" 7 "SDI" 27 3 1
"551" 7 "SDI" 28 4 1
"552" 7 "SDI" 29 2 1
"553" 7 "SDI" 30 1 0
"554" 7 "SDI" 31 4 1
"555" 7 "SDI" 32 1 0
"556" 7 "SDI" 33 4 1
"557" 7 "SDI" 34 3 1
"558" 7 "SDI" 35 2 1
"559" 7 "SDI" 36 1 1
"560" 7 "SDI" 37 4 1
"561" 7 "SDI" 38 2 1
"562" 7 "SDI" 39 4 1
"563" 7 "SDI" 40 3 1
"564" 7 "SDI" 41 1 1
"565" 7 "SDI" 42 2 1
"566" 7 "SDI" 43 4 1
"567" 7 "SDI" 44 1 0
"568" 7 "SDI" 45 2 0
